concept_id,domain,avg_topk_jaccard,top1_consistency,avg_score_corr_ticker_pearson,avg_score_corr_ticker_spearman,avg_rank_score_corr,avg_score_gap_delta,avg_score_spread,variants
1,equity,0.5398,0.4,-0.2076,0.176,0.8583,0.0028,0.0073,20
2,rates,0.7411,0.45,0.1511,0.5821,0.9029,0.0028,0.0107,20
3,commodity,0.5843,0.65,-0.0339,0.2049,0.781,0.0255,0.0802,20
4,crypto,0.8361,0.6,0.1603,0.3661,0.8759,0.0022,0.0066,20
5,fx,0.7504,0.65,0.2147,0.5861,0.8781,0.0034,0.0116,20
6,credit,0.8434,0.3,0.1502,0.3915,0.9041,0.0026,0.0094,20
7,china,0.3904,0.6,-0.3994,-0.0694,0.9012,0.004,0.0075,20
8,us_macro,0.6896,0.6,-0.0957,0.2498,0.8844,0.0038,0.0073,20
9,tech,0.4725,0.35,-0.2522,0.266,0.8791,0.0038,0.0085,20
10,money_market,0.6278,0.55,0.0555,0.7278,0.9001,0.0029,0.012,20
11,equity,0.6151,0.45,-0.1149,0.3495,0.9076,0.0034,0.0075,20
12,rates,0.6757,0.6,0.0076,0.4972,0.9342,0.0027,0.0091,20
13,commodity,0.6226,0.6,0.3469,0.4087,0.7444,0.0053,0.0928,20
14,crypto,0.5962,0.9,0.0045,0.7097,0.9581,0.0023,0.0105,20
15,fx,0.8044,0.6,0.1065,0.2763,0.9025,0.0029,0.0086,20
16,credit,0.6769,0.3,-0.0655,0.3091,0.8804,0.0032,0.0084,20
17,china,0.4977,0.65,-0.2374,0.4325,0.8835,0.0122,0.0136,20
18,us_macro,0.8316,0.8,0.1945,0.5643,0.884,0.0023,0.0086,20
19,tech,0.4787,0.5,-0.266,0.2004,0.897,0.004,0.0078,20
20,money_market,0.6594,0.55,0.0908,0.6424,0.9187,0.0039,0.0109,20
21,equity,0.5107,0.6,-0.1474,0.4782,0.9469,0.0034,0.0098,20
22,rates,0.6754,0.45,-0.0461,0.3279,0.905,0.0031,0.0086,20
23,commodity,0.5996,0.5,-0.0313,0.205,0.7883,0.0257,0.0795,20
24,crypto,0.6053,0.95,-0.012,0.6785,0.9608,0.0027,0.0111,20
25,fx,0.4919,0.35,-0.2861,0.0459,0.897,0.0024,0.0058,20
26,credit,0.69,0.6,0.012,0.4885,0.8941,0.0046,0.0087,20
27,china,0.4784,0.8,-0.2781,0.2067,0.9071,0.0036,0.0086,20
28,us_macro,0.6964,0.35,-0.0445,0.2968,0.8766,0.003,0.0072,20
29,tech,0.4715,0.4,-0.3074,0.09,0.8927,0.0045,0.0085,20
30,money_market,0.6434,0.8,0.024,0.6222,0.905,0.0021,0.0095,20
31,equity,0.5335,0.55,-0.2047,0.276,0.8538,0.0026,0.0074,20
32,rates,0.7667,0.55,0.2533,0.6262,0.9287,0.0036,0.0114,20
33,commodity,0.5349,0.4,-0.1707,0.0764,0.8118,0.0334,0.0711,20
34,crypto,0.798,0.45,0.0741,0.3539,0.9305,0.0022,0.006,20
35,fx,0.6685,0.75,0.0643,0.6056,0.9066,0.0036,0.0126,20
36,credit,0.6992,0.5,-0.0544,0.3761,0.8897,0.0036,0.0082,20
37,china,0.3607,0.4,-0.4436,-0.0573,0.8964,0.0032,0.0067,20
38,us_macro,0.6781,0.6,-0.0393,0.2341,0.8202,0.0027,0.0077,20
39,tech,0.4792,0.5,-0.1804,0.4879,0.8838,0.0035,0.0091,20
40,money_market,0.6524,0.7,0.1518,0.7379,0.9478,0.0033,0.0118,20
41,equity,0.6853,0.6,-0.068,0.3554,0.8782,0.0027,0.0082,20
42,rates,0.6917,0.35,0.0366,0.4986,0.9214,0.0025,0.0093,20
43,commodity,0.6209,0.8,0.2191,0.3051,0.7437,0.0049,0.093,20
44,crypto,0.5772,0.85,-0.0806,0.6191,0.9409,0.0037,0.0095,20
45,fx,0.6378,0.45,-0.1003,0.4166,0.8887,0.0037,0.0079,20
46,credit,0.6742,0.6,-0.0413,0.4518,0.8929,0.0032,0.0082,20
47,china,0.4654,0.55,-0.2383,0.3103,0.8718,0.019,0.0172,20
48,us_macro,0.785,0.6,0.1375,0.4699,0.9022,0.0021,0.0087,20
49,tech,0.5165,0.45,-0.2424,0.3418,0.8974,0.0032,0.0058,20
50,money_market,0.6576,0.5,0.0547,0.6039,0.8929,0.0031,0.0108,20
51,equity,0.5593,0.75,-0.1183,0.5431,0.9295,0.0039,0.0084,20
52,rates,0.6667,0.3,-0.0511,0.2955,0.9213,0.0025,0.0063,20
53,commodity,0.5571,0.45,-0.0931,0.1618,0.791,0.0235,0.0788,20
54,crypto,0.6391,0.95,0.1029,0.7996,0.9386,0.0023,0.0125,20
55,fx,0.6183,0.5,-0.2024,0.0467,0.9018,0.0025,0.0054,20
56,credit,0.6947,0.6,0.0715,0.685,0.9396,0.0045,0.0098,20
57,china,0.4242,0.9,-0.2965,0.2512,0.8563,0.0193,0.0175,20
58,us_macro,0.6722,0.5,-0.0263,0.3383,0.9116,0.0021,0.0077,20
59,tech,0.4908,0.55,-0.2897,0.0706,0.8749,0.0047,0.0074,20
60,money_market,0.603,0.7,-0.0089,0.5563,0.8928,0.0028,0.0092,20
61,equity,0.6429,0.5,-0.1131,0.2838,0.8709,0.0026,0.0071,20
62,rates,0.7273,0.45,0.12,0.5287,0.9111,0.0031,0.0112,20
63,commodity,0.5612,0.65,0.0836,0.2263,0.7343,0.0192,0.0843,20
64,crypto,0.8501,0.7,0.2282,0.4031,0.9211,0.0018,0.0063,20
65,fx,0.7293,0.6,0.1582,0.5888,0.8997,0.0035,0.0115,20
66,credit,0.8546,0.35,0.1084,0.2959,0.8889,0.0027,0.0083,20
67,china,0.4521,0.6,-0.3103,0.1775,0.8746,0.0035,0.0064,20
68,us_macro,0.6398,0.8,0.0016,0.5698,0.9062,0.0032,0.0091,20
69,tech,0.471,0.45,-0.2728,0.2814,0.8481,0.0035,0.0075,20
