domain,concepts,avg_topk_jaccard,avg_top1_consistency,avg_score_corr_ticker_pearson,avg_score_corr_ticker_spearman,avg_rank_score_corr,avg_score_gap_delta,avg_score_spread
china,10,0.5894,0.675,-0.0021,0.5534,0.9442,0.0049,0.0133
commodity,10,0.674,0.565,0.2819,0.3475,0.7836,0.0231,0.058
credit,10,0.544,0.515,-0.2423,0.1752,0.911,0.0028,0.0062
crypto,10,0.4895,0.67,-0.2285,0.1589,0.9437,0.0028,0.0099
equity,10,0.4889,0.79,-0.263,0.2279,0.8932,0.0027,0.0066
fx,10,0.605,0.68,-0.1027,0.3806,0.9032,0.0034,0.0081
money_market,10,0.665,0.5,-0.093,0.265,0.9163,0.0033,0.0072
rates,10,0.6961,0.93,0.0957,0.5339,0.9349,0.0046,0.0119
tech,10,0.4323,0.66,-0.3247,0.1155,0.9289,0.0028,0.0094
us_macro,10,0.5865,0.905,-0.0757,0.4467,0.9074,0.0036,0.0105
