concept_id,domain,avg_topk_jaccard,top1_consistency,avg_score_corr_ticker_pearson,avg_score_corr_ticker_spearman,avg_rank_score_corr,avg_score_gap_delta,avg_score_spread,avg_tie_bucket_jaccard,variants
1,equity,0.2659,0.2,-0.7333,-0.7333,0.0,0.0,0.0,0.0222,10
2,rates,0.5923,0.7,-0.0222,-0.0222,0.0,0.0,0.0,0.6222,10
3,commodity,0.469,0.4,-0.1333,-0.1333,0.0,0.0,0.0,0.2444,10
4,crypto,0.6291,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10
5,fx,0.4875,0.9,0.0,0.0,0.0,0.0,0.0,1.0,10
6,credit,0.4952,0.5,0.0,0.0,0.0,0.0,0.0,1.0,10
7,china,0.4378,0.3,-0.9111,-0.9111,0.0,0.0,0.0,0.0667,10
8,us_macro,0.4024,0.9,0.0,0.0,0.0,0.0,0.0,1.0,10
9,tech,0.3673,0.8,0.0,0.0,0.0,0.0,0.0,1.0,10
10,money_market,0.8688,0.5,0.0,0.0,0.0,0.0,0.0,1.0,10
11,equity,0.3245,0.3,0.0,0.0,0.0,0.0,0.0,0.0889,10
12,rates,0.7376,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10
13,commodity,0.6468,0.3,0.0,0.0,0.0,0.0,0.0,0.8,10
14,crypto,0.3704,0.4,0.0,0.0,0.0,0.0,0.0,1.0,10
15,fx,0.6762,0.4,0.0,0.0,0.0,0.0,0.0,1.0,10
16,credit,0.555,0.6,0.0,0.0,0.0,0.0,0.0,1.0,10
17,china,0.4352,0.3,-0.5333,-0.5333,0.0,0.0,0.0,0.1111,10
18,us_macro,0.6646,0.9,0.0,0.0,0.0,0.0,0.0,1.0,10
19,tech,0.4049,0.5,0.0,0.0,0.0,0.0,0.0,1.0,10
20,money_market,0.613,0.4,0.0,0.0,0.0,0.0,0.0,1.0,10
21,equity,0.2981,0.2,-0.5333,-0.5333,0.0,0.0,0.0,0.0444,10
22,rates,0.6688,0.9,0.0,0.0,0.0,0.0,0.0,1.0,10
23,commodity,0.4833,0.3,-0.4444,-0.4444,0.0,0.0,0.0,0.1333,10
24,crypto,0.4426,0.4,0.0,0.0,0.0,0.0,0.0,1.0,10
25,fx,0.6048,0.5,0.0,0.0,0.0,0.0,0.0,1.0,10
26,credit,0.5574,0.5,0.0,0.0,0.0,0.0,0.0,1.0,10
27,china,0.3571,0.3,-0.6444,-0.6444,0.0,0.0,0.0,0.1111,10
28,us_macro,0.6177,0.9,0.0,0.0,0.0,0.0,0.0,1.0,10
29,tech,0.5267,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10
30,money_market,0.4765,0.6,0.0,0.0,0.0,0.0,0.0,1.0,10
